time,x,y,z,rssi
20:13:56:287,-5.797492,5.346922,0.288542
20:13:56:796,-5.77362,5.712104,0.3071554
20:13:57:290,-5.769813,6.02778,0.2937225
20:13:57:786,-5.728285,6.353824,0.2772829
20:13:58:289,-5.680006,6.692048,0.278767
20:13:58:788,-5.66395,7.032376,0.2708793
20:13:59:282,-5.605004,7.343501,0.255776
20:13:59:791,-5.58446,7.632204,0.2638779
20:14:0:295,-5.612797,7.80794,0.2652728
20:14:0:804,-5.686339,7.885519,0.2673761
20:14:1:300,-5.764724,7.95005,0.289946
20:14:1:800,-5.869794,7.95268,0.3064218
20:14:2:277,-6.038958,7.959235,0.3086266
20:14:2:790,-6.255283,7.986491,0.338989
20:14:3:290,-6.523348,8.049633,0.3719954
20:14:3:793,-6.841672,8.079561,0.3889666
20:14:4:286,-7.158382,8.096262,0.4171638
20:14:4:788,-7.504299,8.139415,0.4360757
20:14:5:301,-7.819785,8.150917,0.4327311
20:14:5:787,-8.051696,8.18649,0.444628
20:14:6:280,-8.268826,8.216393,0.4079969
20:14:6:790,-8.410378,8.092837,0.4042687
20:14:7:282,-8.474943,7.876656,0.3945234
20:14:7:790,-8.484922,7.63583,0.4021105
20:14:8:288,-8.552175,7.390166,0.4130645
20:14:8:798,-8.626536,7.115082,0.4210093
20:14:9:293,-8.641038,6.826722,0.4398731
20:14:9:778,-8.678492,6.526794,0.4419267
20:14:10:277,-8.70159,6.215942,0.442059
20:14:10:787,-8.720364,5.894766,0.4531249
20:14:11:288,-8.804627,5.535179,0.455432
20:14:11:792,-8.856684,5.20409,0.4719227
20:14:12:293,-8.880726,4.834839,0.4860128
20:14:12:786,-8.933928,4.460343,0.4826253
20:14:13:301,-8.94462,4.086692,0.4661806
20:14:13:791,-8.957812,3.747016,0.476534
20:14:14:288,-9.007126,3.37107,0.4802491
20:14:14:786,-8.990314,2.998779,0.471105
20:14:15:282,-9.014241,2.665003,0.4712763
20:14:15:790,-9.050913,2.272814,0.4981378
20:14:16:299,-9.028477,1.894739,0.4927849
20:14:16:798,-9.034563,1.583453,0.4972655
20:14:17:297,-9.045562,1.309725,0.5040848
20:14:17:803,-9.025345,1.032167,0.4395804
20:14:18:275,-9.079199,0.8930394,0.4343214
20:14:18:786,-9.165788,0.8786862,0.4215567
20:14:19:293,-9.275278,0.880706,0.4345892
20:14:19:791,-9.506031,0.8966169,0.4552135
20:14:20:298,-9.79313,0.9160666,0.4875018
20:14:20:801,-10.09447,0.9000837,0.5033941
20:14:21:297,-10.41585,0.9079298,0.50783
20:14:21:803,-10.74242,0.9126773,0.5452473
20:14:22:285,-11.07644,0.8871401,0.5659366
20:14:22:786,-11.39513,0.8969867,0.5821869
20:14:23:287,-11.75152,0.934128,0.6150243
20:14:23:789,-12.08958,0.9459183,0.6324885
20:14:24:291,-12.45803,0.951136,0.6302147
20:14:24:796,-12.81756,0.9509937,0.6614752
20:14:25:295,-13.17958,0.9254442,0.6874383
20:14:25:798,-13.51911,0.9314782,0.6874115
20:14:26:283,-13.81141,0.9459817,0.7263327
20:14:26:788,-14.14354,0.9590535,0.7453448
20:14:27:290,-14.45942,0.9863668,0.7368634
20:14:27:791,-14.70238,0.9843471,0.7317564
20:14:28:291,-14.88977,1.015198,0.7089669
20:14:28:797,-14.93336,1.072828,0.7185298
20:14:29:297,-14.90364,1.170414,0.7439178
20:14:29:799,-14.85415,1.207507,0.7368033
20:14:30:284,-14.77487,1.147633,0.7335347
20:14:30:787,-14.64983,1.00901,0.7377271
20:14:31:286,-14.53555,0.953752,0.7495502
20:14:31:780,-14.38294,0.9511831,0.7732984
20:14:32:293,-14.13609,0.9760768,0.7711993
20:14:32:796,-13.85367,0.964249,0.7561309
20:14:33:300,-13.52331,0.9199118,0.7653016
20:14:33:789,-13.20719,0.9444182,0.7471461
20:14:34:298,-12.90513,0.9499099,0.7041912
20:14:34:783,-12.58696,0.9202789,0.6844816
20:14:35:287,-12.26247,0.9316664,0.65286
20:14:35:784,-11.99338,0.897841,0.629306
20:14:36:290,-11.63591,0.853775,0.6272605
20:14:36:784,-11.29575,0.8588455,0.6009528
20:14:37:299,-10.95032,0.8682086,0.5575389
20:14:37:793,-10.59784,0.8746692,0.5280955
20:14:38:307,-10.27428,0.8728843,0.5161901
20:14:38:779,-9.956895,0.860909,0.4803673
20:14:39:285,-9.688511,0.8363328,0.4650687
20:14:39:780,-9.436033,0.8267241,0.4324245
20:14:40:293,-9.230833,0.8460039,0.3880875
20:14:40:788,-9.147337,0.9208393,0.4032809
20:14:41:295,-9.138379,1.037758,0.3739426
20:14:41:789,-9.101736,1.242185,0.3648309
20:14:42:297,-9.081903,1.54191,0.362386
20:14:42:792,-9.037501,1.859751,0.3345298
20:14:43:289,-8.974861,2.169077,0.3261122
20:14:43:785,-8.943141,2.489355,0.3350055
20:14:44:290,-8.923672,2.805181,0.3264246
20:14:44:783,-8.902181,3.099761,0.3390163
20:14:45:285,-8.916621,3.326631,0.324218
20:14:45:804,-9.101392,3.410966,0.3161794
20:14:46:305,-9.289709,3.408126,0.343825
20:14:46:777,-9.476043,3.331686,0.3601447
20:14:47:277,-9.701221,3.319815,0.3733396
20:14:47:786,-9.941298,3.331836,0.3724859
20:14:48:280,-10.14854,3.379086,0.3819326
20:14:48:783,-10.20885,3.494759,0.3414633
20:14:49:295,-10.23431,3.603362,0.3507099
20:14:49:796,-10.17795,3.708099,0.3273997
20:14:50:296,-10.18092,3.823971,0.3315408
20:14:50:786,-10.19913,4.046391,0.3477254
20:14:51:287,-10.191,4.311421,0.3997835
20:14:51:790,-10.13198,4.613578,0.4073991
20:14:52:289,-10.15354,4.924837,0.4060562
